symbol,year,fiscal_date,revenue.total_revenue,revenue.operating_revenue,gross_profit.gross_profit_value,gross_profit.cost_of_revenue.cost_of_revenue_value,gross_profit.cost_of_revenue.reconciled_cost_of_revenue,operating_income.operating_income_value,operating_income.total_operating_income_as_reported,operating_income.operating_expense,operating_income.total_expenses,net_income.net_income_value,net_income.net_income_common_stockholders,net_income.net_income_including_noncontrolling_interests,net_income.net_income_continuous_operations,net_income.net_income_from_continuing_operation_net_minority_interest,net_income.net_income_from_continuing_and_discontinued_operation,net_income.normalized_income,earnings_per_share.diluted_eps,earnings_per_share.basic_eps,earnings_per_share.diluted_ni_avail_to_common_stockholders,expenses.total_expenses,expenses.selling_general_and_administration_expense,expenses.research_and_development_expense,other_income_and_expenses.other_income_expense,other_income_and_expenses.other_non_operating_income_expenses,taxes.tax_provision,taxes.tax_effect_of_unusual_items,taxes.tax_rate_for_calculations,ebitda.ebitda_value,ebitda.normalized_ebitda_value,ebitda.ebit_value,dividends_and_shares.diluted_average_shares,dividends_and_shares.basic_average_shares,depreciation.reconciled_depreciation,pretax_income.pretax_income_value,interest_income_and_expense.interest_income,interest_income_and_expense.interest_expense,interest_income_and_expense.net_interest_income,interest_income_and_expense.net_non_operating_interest_income_expense,interest_income_and_expense.interest_expense_non_operating,interest_income_and_expense.interest_income_non_operating
AAPL,2020,2019-09-30,260174.0,260174.0,98392.0,161782.0,161782.0,63930.0,63930.0,34462.0,196244.0,55256.0,55256.0,55256.0,55256.0,55256.0,55256.0,55256.0,2.9725,2.9925,55256.0,196244.0,18245.0,16217.0,422.0,422.0,10481.0,0,0.159,81860.0,81860.0,69313.0,18595.65,18471.34,12547.0,65737.0,4961.0,3576.0,1385.0,1385.0,3576.0,4961.0
AAPL,2021,2020-09-30,274515.0,274515.0,104956.0,169559.0,169559.0,66288.0,66288.0,38668.0,208227.0,57411.0,57411.0,57411.0,57411.0,57411.0,57411.0,57411.0,3.28,3.31,57411.0,208227.0,19916.0,18752.0,-87.0,-87.0,9680.0,0,0.144,81020.0,81020.0,69964.0,17528.21,17352.12,11056.0,67091.0,3763.0,2873.0,890.0,890.0,2873.0,3763.0
AAPL,2022,2021-09-30,365817.0,365817.0,152836.0,212981.0,212981.0,108949.0,108949.0,43887.0,256868.0,94680.0,94680.0,94680.0,94680.0,94680.0,94680.0,94680.0,5.61,5.67,94680.0,256868.0,21973.0,21914.0,60.0,60.0,14527.0,0,0.133,123136.0,123136.0,111852.0,16864.92,16701.27,11284.0,109207.0,2843.0,2645.0,198.0,198.0,2645.0,2843.0
AAPL,2023,2022-09-30,394328.0,394328.0,170782.0,223546.0,223546.0,119437.0,119437.0,51345.0,274891.0,99803.0,99803.0,99803.0,99803.0,99803.0,99803.0,99803.0,6.11,6.15,99803.0,274891.0,25094.0,26251.0,-334.0,-334.0,19300.0,0,0.162,130541.0,130541.0,119437.0,16325.82,16215.96,11104.0,119103.0,2825.0,2931.0,-106.0,-106.0,2931.0,2825.0
AAPL,2024,2023-09-30,383285.0,383285.0,169148.0,214137.0,214137.0,114301.0,114301.0,54847.0,268984.0,96995.0,96995.0,96995.0,96995.0,96995.0,96995.0,96995.0,6.13,6.16,96995.0,268984.0,24932.0,29915.0,-565.0,-565.0,16741.0,0,0.147192,125820.0,125820.0,114301.0,15812.55,15744.23,11519.0,113736.0,3750.0,3933.0,-183.0,-183.0,3933.0,3750.0
AAPL,2025,2024-09-30,391035.0,391035.0,180683.0,210352.0,210352.0,123216.0,123216.0,57467.0,267819.0,93736.0,93736.0,93736.0,93736.0,93736.0,93736.0,93736.0,6.08,6.11,93736.0,267819.0,26097.0,31370.0,269.0,269.0,29749.0,0,0.241,134661.0,134661.0,123216.0,15408.09,15343.78,11445.0,123485.0,,,,,,
